MSA	2008	2007	2006	2005	2004	2003	2002	2001	2000
Hickory-Lenoir-Morganton, NC	926	1,668	1,553	1,626	1,885	1,619	1,875	2,432	2,190
Hinesville-Fort Stewart, GA	222	475	271	337	321	336	406	333	221
Holland-Grand Haven, MI	671	1,048	1,365	1,939	2,355	2,451	1,975	2,250	2,039
Honolulu, HI	1,438	2,944	2,606	3,988	4,084	3,473	2,673	1,975	1,969
Hot Springs, AR	54	96	135	159	140	129	125	113	105
Houma-Bayou Cane-Thibodaux, LA	865	722	1,153	947	895	1,053	794	711	696
Houston-Sugar Land-Baytown, TX	42,728	63,274	71,719	62,125	56,036	56,571	47,088	37,613	36,025
Huntington-Ashland, WV-KY-OH	343	372	633	616	352	179	212	296	273
Huntsville, AL	3,164	4,463	4,470	3,441	3,689	2,397	1,659	1,629	1,210
Idaho Falls, ID	518	1,488	1,524	1,914	1,740	1,183	932	765	665
Indianapolis-Carmel, IN	6,982	8,298	11,341	15,619	15,355	15,784	16,388	17,057	15,180
Iowa City, IA	834	819	1,090	1,288	1,362	1,555	1,331	1,246	1,205
Ithaca, NY	231	273	307	340	241	336	399	299	556
Jackson, MI	230	330	587	897	704	831	928	945	919
Jackson, MS	2,125	3,045	3,722	3,531	4,506	3,569	3,438	2,686	2,312
Jackson, TN	397	543	740	739	728	761	684	797	656
Jacksonville, FL	6,963	10,928	16,967	25,088	19,326	15,821	14,361	12,750	10,682
Jacksonville, NC	1,236	1,636	2,045	1,818	1,860	1,048	1,042	1,167	915
Janesville, WI	255	477	758	996	1,096	988	972	836	848
Jefferson City, MO	231	251	503	574	546	496	655	632	759
Johnson City, TN	1,053	966	1,440	1,265	1,085	944	747	396	508
Johnstown, PA	264	174	232	246	320	237	213	205	220
Jonesboro, AR	591	611	680	610	560	690	533	486	377
Joplin, MO	267	397	528	706	715	599	476	504	481
Kalamazoo-Portage, MI	627	1,000	1,439	1,610	1,867	2,462	1,710	1,623	1,934
Kankakee-Bradley, IL	194	408	630	827	651	671	468	453	389
Kansas City, MO-KS	5,300	8,129	13,205	15,218	15,058	14,935	13,976	15,116	13,044
Kennewick-Pasco-Richland, WA	1,101	1,603	1,724	2,450	3,264	2,249	2,247	1,545	1,018
Killeen-Temple-Fort Hood, TX	2,403	3,209	4,573	4,232	3,648	2,675	2,968	2,325	1,897
Kingsport-Bristol-Bristol, TN-VA	699	1,255	1,407	1,395	1,445	1,250	1,306	1,056	993
Kingston, NY	518	596	602	910	864	805	848	572	548
Knoxville, TN	2,856	4,849	6,453	5,757	5,965	3,899	4,163	3,668	3,505
Kokomo, IN	57	103	194	358	306	403	500	428	461
La Crosse, WI-MN	382	627	616	610	848	680	624	646	644
Lafayette, IN	660	919	918	1,079	1,511	1,519	1,432	1,600	1,830
Lafayette, LA	1,092	1,747	2,490	1,817	2,247	1,574	1,556	1,059	1,069
Lake Charles, LA	963	1,209	630	918	1,347	1,458	986	1,102	1,001
Lake Havasu City-Kingman, AZ	556	1,223	2,692	4,011	4,121	3,387	2,795	2,231	1,938
Lakeland-Winter Haven, FL	3,249	4,222	9,323	13,179	10,242	6,823	4,972	4,521	4,746
Lancaster, PA	1,484	1,731	1,887	2,040	2,675	2,690	2,548	2,267	2,016
Lansing-East Lansing, MI	383	768	1,231	2,121	2,206	3,156	2,406	2,469	2,316
Laredo, TX	1,087	1,581	2,395	2,176	2,193	1,671	1,805	1,759	1,863
Las Cruces, NM	985	1,424	2,385	2,511	1,675	1,767	1,213	994	982
Las Vegas-Paradise, NV	12,537	24,089	33,728	39,237	36,395	36,732	29,156	29,707	26,224
Lawrence, KS	744	456	545	697	879	1,060	948	1,037	803
Lawton, OK	254	876	582	635	166	162	162	142	138
Lebanon, PA	396	497	564	845	807	744	810	609	514
Lewiston, ID-WA	129	172	210	277	226	155	143	132	179
Lewiston-Auburn, ME	219	252	320	521	545	508	378	302	321
Lexington-Fayette, KY	2,819	2,569	3,677	5,007	5,121	3,975	3,934	3,118	3,890
Lima, OH	110	178	193	320	369	284	190	220	231
Lincoln, NE	823	1,349	1,424	1,780	2,706	2,498	1,998	1,794	1,771
Little Rock-North Little Rock-Conway, AR	2,835	3,477	4,175	5,748	5,525	4,098	4,536	3,046	2,746
Logan, UT-ID	593	1,005	996	1,104	1,404	988	731	878	725
Longview, TX	275	381	651	396	488	332	321	290	186
Longview, WA	276	578	703	515	409	436	481	411	514
Los Angeles-Long Beach-Santa Ana, CA	15,045	26,616	33,505	30,641	35,785	30,151	28,250	26,905	29,488
Louisville/Jefferson County, KY-IN	3,691	6,062	5,665	7,134	8,689	8,632	7,847	7,895	7,942
Lubbock, TX	1,502	1,280	1,514	1,782	3,776	2,956	1,873	1,730	926
Lynchburg, VA	906	1,716	1,840	1,842	1,455	1,421	1,458	1,236	1,205
Macon, GA	894	1,613	1,577	1,259	1,555	1,871	1,040	1,086	1,298
Madera, CA	240	509	1,376	2,268	1,676	1,227	981	789	648
Madison, WI	1,906	2,623	3,724	5,114	5,306	6,117	4,938	5,499	4,565
Manchester-Nashua, NH	690	971	1,346	1,862	2,160	2,051	2,426	1,878	1,843
Mansfield, OH	110	202	231	430	446	490	446	490	538
McAllen-Edinburg-Mission, TX	3,694	6,458	8,046	8,889	9,314	8,060	7,477	6,885	5,640
Medford, OR	449	1,138	1,333	2,036	2,099	2,138	1,548	1,602	1,351
Memphis, TN-MS-AR	3,106	8,078	10,251	10,792	10,130	9,605	9,084	8,058	10,736
Merced, CA	349	794	2,216	3,665	2,598	2,742	1,753	1,092	1,380
Miami-Fort Lauderdale-Pompano Beach, FL	7,821	15,145	35,110	45,562	46,084	39,595	39,594	35,532	34,949
Michigan City-La Porte, IN	180	330	382	577	512	417	413	442	440
Midland, TX	483	514	470	390	289	260	227	154	158
Milwaukee-Waukesha-West Allis, WI	2,444	3,266	4,290	5,444	5,902	6,467	5,936	5,879	5,631
Minneapolis-St. Paul-Bloomington, MN-WI	5,781	9,982	15,712	22,069	27,714	27,623	25,751	22,979	22,306
Missoula, MT	439	667	518	638	588	947	1,127	523	571
Mobile, AL	2,416	2,484	2,777	2,183	2,370	1,684	1,728	2,359	2,158
Modesto, CA	481	1,865	2,644	4,525	4,521	4,119	3,173	3,215	3,023
Monroe, LA	311	555	883	1,096	700	543	491	482	397
Monroe, MI	114	400	672	934	1,182	1,160	954	821	1,202
Montgomery, AL	649	1,894	1,590	2,396	2,060	1,772	1,613	1,520	1,267
Morgantown, WV	264	103	165	118	122	90	71	95	84
Morristown, TN	345	731	688	752	711	598	524	592	628
Mount Vernon-Anacortes, WA	438	807	1,009	1,018	851	904	887	719	677
Muncie, IN	75	134	208	267	359	563	313	336	402
Muskegon-Norton Shores, MI	208	346	480	657	766	969	992	898	836
Myrtle Beach-North Myrtle Beach-Conway, SC	2,997	5,268	10,335	11,828	7,068	5,130	4,017	4,268	4,492
Napa, CA	230	330	507	687	917	607	1,003	911	542
Naples-Marco Island, FL	951	2,095	4,788	6,622	6,921	5,820	7,282	8,158	7,970
Nashville-Davidson--Murfreesboro--Franklin, TN	8,188	13,567	15,327	16,654	16,281	13,549	11,782	12,047	10,707
New Haven-Milford, CT	920	1,256	1,654	2,251	2,534	1,826	1,701	1,586	1,918
New Orleans-Metairie-Kenner, LA	4,789	7,024	5,534	4,781	6,400	6,129	5,383	4,438	4,167
New York-Northern New Jersey-Long Island, NY-NJ-PA	51,590	56,405	60,987	67,207	56,873	49,812	46,390	43,851	49,169
Niles-Benton Harbor, MI	281	467	625	816	731	608	614	544	507
Norwich-New London, CT	363	718	1,006	1,208	1,348	1,222	956	782	814
Ocala, FL	1,139	3,035	7,063	7,453	5,426	6,475	6,161	3,171	2,354
Ocean City, NJ	485	1,081	1,580	2,433	2,149	1,693	1,422	1,403	1,242
Odessa, TX	716	439	261	255	194	173	200	101	238
Ogden-Clearfield, UT	1,980	3,434	4,922	4,918	4,675	4,422	3,980	3,877	3,584
Oklahoma City, OK	4,099	6,275	7,433	9,049	9,331	8,082	6,289	5,968	5,390
Olympia, WA	1,361	2,603	3,204	2,570	2,253	2,014	1,835	1,479	1,299
Omaha-Council Bluffs, NE-IA	4,521	5,048	5,466	6,631	6,400	6,370	5,919	5,100	5,925
Orlando-Kissimmee, FL	10,233	18,638	30,984	36,137	33,992	28,233	26,208	23,319	24,924
Oshkosh-Neenah, WI	638	559	816	777	1,114	1,460	1,375	1,301	811
Owensboro, KY	308	432	351	457	415	603	1,094	760	839
Oxnard-Thousand Oaks-Ventura, CA	893	1,595	2,244	4,511	2,617	3,567	2,525	3,453	3,960
Palm Bay-Melbourne-Titusville, FL	1,625	2,927	5,044	8,787	8,925	6,169	6,622	5,044	4,284
Palm Coast, FL	648	567	1,839	3,985	5,208	4,305	2,319	1,677	1,445
Panama City-Lynn Haven, FL	918	1,036	3,076	5,538	3,844	3,676	1,616	1,071	1,452
Parkersburg-Marietta-Vienna, WV-OH	206	216	295	306	237	229	234	308	260
Pascagoula, MS	1,029	1,413	1,541	918	1,295	897	820	1,055	979
Pensacola-Ferry Pass-Brent, FL	1,290	2,622	2,811	3,956	4,635	4,801	3,213	3,182	2,511
Peoria, IL	994	1,352	1,622	1,937	1,820	1,757	1,411	1,169	1,598
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	10,570	13,477	17,212	20,242	21,010	21,095	18,994	17,846	19,520
Phoenix-Mesa-Scottsdale, AZ	18,533	37,272	44,280	62,617	65,259	54,860	47,899	46,100	45,310
Pine Bluff, AR	131	169	101	169	140	214	147	148	148
Pittsburgh, PA	3,774	4,680	5,633	5,601	6,856	6,513	7,040	6,881	6,581
Pittsfield, MA	315	298	352	486	480	417	459	357	314
Pocatello, ID	231	330	701	676	581	412	354	294	247
Portland-South Portland-Biddeford, ME	1,259	2,672	3,202	3,780	3,677	3,505	3,455	3,149	3,137
Portland-Vancouver-Beaverton, OR-WA	7,408	13,115	15,376	17,251	15,859	16,003	14,378	13,874	12,998
Port St. Lucie, FL	1,253	2,409	6,328	10,782	10,556	9,690	6,032	4,076	3,477
Poughkeepsie-Newburgh-Middletown, NY	1,921	2,020	2,200	2,842	2,763	2,909	3,259	3,208	3,003
Prescott, AZ	787	1,461	2,987	4,439	4,003	2,984	3,264	2,312	2,227
Providence-New Bedford-Fall River, RI-MA	1,598	3,085	3,685	4,653	4,410	4,035	4,551	3,902	4,246
Provo-Orem, UT	1,325	4,498	6,486	5,396	4,561	4,341	3,799	3,913	3,816
Pueblo, CO	416	677	1,304	1,179	1,220	1,282	1,303	1,390	1,098
Punta Gorda, FL	433	1,370	4,335	4,694	3,652	2,522	1,992	2,126	1,670
Racine, WI	277	632	806	1,006	1,278	1,188	951	798	867
Raleigh-Cary, NC	11,397	16,614	17,712	14,614	14,404	12,660	11,678	13,782	14,202
Rapid City, SD	477	957	956	1,176	1,375	858	994	681	528
Reading, PA	659	1,288	1,173	1,368	1,640	1,991	2,121	2,031	1,809
Redding, CA	530	712	952	1,566	1,038	1,358	1,341	1,024	970
Reno-Sparks, NV	1,924	2,110	3,670	6,329	5,743	5,033	4,716	4,954	4,574
Richmond, VA	4,982	7,118	7,980	9,832	9,298	9,177	9,733	8,920	6,503
Riverside-San Bernardino-Ontario, CA	8,946	20,086	38,089	51,008	51,463	42,252	32,474	27,417	21,496
Roanoke, VA	858	1,006	1,228	1,604	1,758	1,627	1,613	1,673	1,600
Rochester, MN	631	786	1,109	1,542	1,662	2,016	1,952	1,980	1,854
Rochester, NY	1,898	1,906	2,288	2,730	3,045	3,422	2,991	3,004	3,285
Rockford, IL	465	1,335	2,163	2,566	2,573	2,625	1,980	1,921	1,628
Rocky Mount, NC	367	845	702	766	755	762	912	807	790
Rome, GA	224	308	465	613	573	502	722	451	382
Sacramento--Arden-Arcade--Roseville, CA	5,511	8,050	11,877	20,182	21,999	22,832	22,099	18,434	16,793
Saginaw-Saginaw Township North, MI	144	240	270	582	618	699	630	530	972
St. Cloud, MN	629	780	1,267	1,714	1,706	2,015	1,848	1,488	1,354
St. George, UT	728	1,949	2,253	3,848	3,792	2,729	2,083	1,822	1,551
St. Joseph, MO-KS	103	177	228	297	339	304	285	241	301
St. Louis, MO-IL	5,735	10,311	11,807	15,506	15,720	14,754	14,157	12,028	12,286
Salem, OR	1,055	1,791	2,353	2,438	2,560	1,979	1,960	1,790	1,684
Salinas, CA	456	1,107	865	1,430	1,198	1,355	1,222	1,056	1,714
Salisbury, MD	392	677	1,217	1,212	1,185	1,298	915	916	507
Salt Lake City, UT	4,070	6,245	7,669	9,243	7,659	8,145	6,632	6,673	5,823
San Angelo, TX	259	356	489	270	235	265	251	249	247
San Antonio, TX	10,574	13,295	19,761	22,305	17,539	13,375	13,241	13,136	10,976
San Diego-Carlsbad-San Marcos, CA	5,357	7,435	9,191	14,306	15,587	18,031	13,684	15,405	15,592
Sandusky, OH	55	127	196	423	356	334	204	248	309
San Francisco-Oakland-Fremont, CA	7,555	10,560	14,483	14,883	15,239	14,828	12,541	11,101	15,113
San Jose-Sunnyvale-Santa Clara, CA	3,490	4,194	6,150	5,736	5,492	7,103	4,621	6,301	7,177
San Luis Obispo-Paso Robles, CA	674	1,266	1,764	2,316	2,450	2,260	1,993	1,943	1,673
Santa Barbara-Santa Maria-Goleta, CA	405	711	873	1,050	1,499	1,461	1,696	1,026	867
Santa Cruz-Watsonville, CA	317	842	711	861	801	1,066	608	600	545
Santa Fe, NM	140	277	417	580	561	561	604	537	395
Santa Rosa-Petaluma, CA	612	1,431	1,912	2,819	1,929	2,252	1,928	2,583	2,505
Savannah, GA	2,103	3,698	4,859	4,146	3,082	2,526	2,691	2,522	2,708
Scranton--Wilkes-Barre, PA	700	1,416	1,474	1,382	1,598	1,530	1,518	1,178	1,221
Seattle-Tacoma-Bellevue, WA	15,512	25,403	25,743	25,519	24,135	20,601	20,887	21,070	22,363
Sebastian-Vero Beach, FL	659	1,257	3,143	3,819	4,185	2,430	1,894	1,844	2,059
Sheboygan, WI	203	389	476	506	657	599	680	625	675
Sherman-Denison, TX	203	518	445	744	521	337	356	269	200
Shreveport-Bossier City, LA	1,442	1,517	1,772	2,540	1,958	2,243	1,420	1,055	943
Sioux City, IA-NE-SD	173	271	310	325	445	437	416	421	361
Sioux Falls, SD	1,866	2,382	2,323	2,295	2,448	2,520	2,057	2,395	2,375
South Bend-Mishawaka, IN-MI	830	1,250	1,299	1,382	1,361	1,366	1,413	1,239	1,987
Spartanburg, SC	1,077	1,646	2,156	2,131	2,219	2,081	1,986	1,572	1,567
Spokane, WA	2,406	2,777	3,764	4,396	3,920	2,550	2,066	2,223	2,094
Springfield, IL	605	608	853	1,000	989	1,075	930	919	929
Springfield, MA	819	1,211	1,658	1,656	1,709	1,663	1,652	1,336	1,327
Springfield, MO	2,193	3,450	4,758	5,115	4,289	3,455	3,486	2,533	2,624
Springfield, OH	104	395	200	287	258	273	292	275	284
State College, PA	456	634	678	701	694	1,022	995	778	653
Stockton, CA	819	2,426	3,652	5,869	6,724	7,041	6,143	4,339	5,392
Sumter, SC	299	916	768	627	674	653	404	358	294
Syracuse, NY	1,131	1,420	1,674	1,646	1,633	1,703	1,921	1,584	1,591
Tallahassee, FL	1,171	2,899	3,018	4,283	3,727	3,526	3,320	2,560	2,744
Tampa-St. Petersburg-Clearwater, FL	9,613	12,249	22,640	34,174	29,557	29,281	23,542	21,814	19,244
Terre Haute, IN	205	493	467	503	589	359	399	530	436
Texarkana, TX-Texarkana, AR	153	438	226	248	331	651	388	242	419
Toledo, OH	1,157	1,970	1,980	3,166	4,129	3,205	2,651	2,961	2,387
Topeka, KS	565	1,042	920	1,191	1,167	1,378	1,371	987	877
Trenton-Ewing, NJ	625	700	847	1,296	1,641	1,188	1,428	1,355	1,283
Tucson, AZ	3,221	5,237	8,522	11,644	10,521	7,910	7,147	7,472	7,779
Tulsa, OK	3,988	5,160	5,181	5,644	4,655	4,354	4,545	4,189	3,771
Tuscaloosa, AL	1,254	1,958	2,618	1,727	1,268	1,194	1,338	1,142	742
